Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Systems microscopy: an emerging strategy for the life sciences.,/pubmed/20381488,"Lock JG, Strömblad S.",Exp Cell Res. 2010 May 1;316(8):1438-44. doi: 10.1016/j.yexcr.2010.04.001. Epub 2010 Apr 8. Review.,Exp Cell Res.  2010,PubMed,citation,PMID:20381488,pubmed,20381488,create date:2010/04/13 | first author:Lock JG
Proteomics and bioinformatics analysis of lovastatin-induced differentiation in ARO cells.,/pubmed/22086082,"Shui HA, Hsia CW, Chen HM, Chang TC, Wang CY.",J Proteomics. 2012 Feb 2;75(4):1170-80. doi: 10.1016/j.jprot.2011.10.029. Epub 2011 Nov 7.,J Proteomics.  2012,PubMed,citation,PMID:22086082,pubmed,22086082,create date:2011/11/17 | first author:Shui HA
Onto-Tools: new additions and improvements in 2006.,/pubmed/17584796,"Khatri P, Voichita C, Kattan K, Ansari N, Khatri A, Georgescu C, Tarca AL, Draghici S.",Nucleic Acids Res. 2007 Jul;35(Web Server issue):W206-11. Epub 2007 Jun 21.,Nucleic Acids Res.  2007,PubMed,citation,PMID:17584796 | PMCID:PMC1933142,pubmed,17584796,create date:2007/06/23 | first author:Khatri P
Brain proteomics of Anopheles gambiae.,/pubmed/24937107,"Dwivedi SB, Muthusamy B, Kumar P, Kim MS, Nirujogi RS, Getnet D, Ahiakonu P, De G, Nair B, Gowda H, Prasad TS, Kumar N, Pandey A, Okulate M.",OMICS. 2014 Jul;18(7):421-37. doi: 10.1089/omi.2014.0007. Epub 2014 Jun 17.,OMICS.  2014,PubMed,citation,PMID:24937107 | PMCID:PMC4085979,pubmed,24937107,create date:2014/06/18 | first author:Dwivedi SB
Tracking chromosomal positions of oligomers - a case study with Illumina's BovineSNP50 beadchip.,/pubmed/20122154,"Schmitt AO, Bortfeldt RH, Brockmann GA.",BMC Genomics. 2010 Feb 1;11:80. doi: 10.1186/1471-2164-11-80.,BMC Genomics.  2010,PubMed,citation,PMID:20122154 | PMCID:PMC2834638,pubmed,20122154,create date:2010/02/04 | first author:Schmitt AO
A bioinformatics pipeline for high-throughput microbial multilocus sequence typing (MLST) analyses.,/pubmed/17002618,"Platt S, Pichon B, George R, Green J.",Clin Microbiol Infect. 2006 Nov;12(11):1144-6.,Clin Microbiol Infect.  2006,PubMed,citation,PMID:17002618,pubmed,17002618,create date:2006/09/28 | first author:Platt S
The properties of genome conformation and spatial gene interaction and regulation networks of normal and malignant human cell types.,/pubmed/23536826,"Wang Z, Cao R, Taylor K, Briley A, Caldwell C, Cheng J.",PLoS One. 2013;8(3):e58793. doi: 10.1371/journal.pone.0058793. Epub 2013 Mar 11.,PLoS One.  2013,PubMed,citation,PMID:23536826 | PMCID:PMC3594155,pubmed,23536826,create date:2013/03/29 | first author:Wang Z
Exploring protein domain structure.,/pubmed/11465041,Ison JC.,Brief Bioinform. 2000 Sep;1(3):305-12.,Brief Bioinform.  2000,PubMed,citation,PMID:11465041,pubmed,11465041,create date:2001/07/24 | first author:Ison JC
Sampling realistic protein conformations using local structural bias.,/pubmed/17002495,"Hamelryck T, Kent JT, Krogh A.",PLoS Comput Biol. 2006 Sep 22;2(9):e131. Epub 2006 Aug 21.,PLoS Comput Biol.  2006,PubMed,citation,PMID:17002495 | PMCID:PMC1570370,pubmed,17002495,create date:2006/09/28 | first author:Hamelryck T
GT-Scan: identifying unique genomic targets.,/pubmed/24860161,"O'Brien A, Bailey TL.",Bioinformatics. 2014 Sep 15;30(18):2673-5. doi: 10.1093/bioinformatics/btu354. Epub 2014 May 23.,Bioinformatics.  2014,PubMed,citation,PMID:24860161 | PMCID:PMC4155256,pubmed,24860161,create date:2014/05/27 | first author:O'Brien A
Avoiding cross hybridization by choosing nonredundant targets on cDNA arrays.,/pubmed/11847081,"Nielsen HB, Knudsen S.",Bioinformatics. 2002 Feb;18(2):321-2.,Bioinformatics.  2002,PubMed,citation,PMID:11847081,pubmed,11847081,create date:2002/02/16 | first author:Nielsen HB
Querying metabolism under different physiological constraints.,/pubmed/20401946,"Cakmak A, Ozsoyoglu G, Hanson RW.",J Bioinform Comput Biol. 2010 Apr;8(2):247-93.,J Bioinform Comput Biol.  2010,PubMed,citation,PMID:20401946,pubmed,20401946,create date:2010/04/20 | first author:Cakmak A
The macro-ethics of genomics to health: the physiome project.,/pubmed/14744120,Bassingthwaighte JB.,C R Biol. 2003 Oct-Nov;326(10-11):1105-10.,C R Biol.  2003,PubMed,citation,PMID:14744120 | PMCID:PMC2863995,pubmed,14744120,create date:2004/01/28 | first author:Bassingthwaighte JB
An in silico model for interpreting polypharmacology in drug-target networks.,/pubmed/23568464,"Takigawa I, Tsuda K, Mamitsuka H.",Methods Mol Biol. 2013;993:67-80. doi: 10.1007/978-1-62703-342-8_5.,Methods Mol Biol.  2013,PubMed,citation,PMID:23568464,pubmed,23568464,create date:2013/04/10 | first author:Takigawa I
Dissecting the HIV-specific immune response: a systems biology approach.,/pubmed/22134339,"Peretz Y, Cameron C, Sékaly RP.",Curr Opin HIV AIDS. 2012 Jan;7(1):17-23. doi: 10.1097/COH.0b013e32834ddb0e. Review.,Curr Opin HIV AIDS.  2012,PubMed,citation,PMID:22134339 | PMCID:PMC3627479,pubmed,22134339,create date:2011/12/03 | first author:Peretz Y
Finding disease-related genomic experiments within an international repository: first steps in translational bioinformatics.,/pubmed/17238312,"Butte AJ, Chen R.",AMIA Annu Symp Proc. 2006:106-10.,AMIA Annu Symp Proc.  2006,PubMed,citation,PMID:17238312 | PMCID:PMC1839582,pubmed,17238312,create date:2007/01/24 | first author:Butte AJ
DNA replication timing.,/pubmed/23838440,"Rhind N, Gilbert DM.",Cold Spring Harb Perspect Biol. 2013 Aug 1;5(8):a010132. doi: 10.1101/cshperspect.a010132. Review.,Cold Spring Harb Perspect Biol.  2013,PubMed,citation,PMID:23838440 | PMCID:PMC3721284,pubmed,23838440,create date:2013/07/11 | first author:Rhind N
Comparison of analytical and numerical particle deposition using commercial CFD packages: impaction and sedimentation.,/pubmed/18368619,"Robinson RJ, Snyder P, Oldham MJ.",Inhal Toxicol. 2008 Mar;20(5):485-97. doi: 10.1080/08958370701858435 .,Inhal Toxicol.  2008,PubMed,citation,PMID:18368619,pubmed,18368619,create date:2008/03/28 | first author:Robinson RJ
Data mining in bioinformatics using Weka.,/pubmed/15073010,"Frank E, Hall M, Trigg L, Holmes G, Witten IH.",Bioinformatics. 2004 Oct 12;20(15):2479-81. Epub 2004 Apr 8.,Bioinformatics.  2004,PubMed,citation,PMID:15073010,pubmed,15073010,create date:2004/04/10 | first author:Frank E
Towards programming languages for genetic engineering of living cells.,/pubmed/19369220,"Pedersen M, Phillips A.",J R Soc Interface. 2009 Aug 6;6 Suppl 4:S437-50. doi: 10.1098/rsif.2008.0516.focus. Epub 2009 Apr 15.,J R Soc Interface.  2009,PubMed,citation,PMID:19369220 | PMCID:PMC2843955,pubmed,19369220,create date:2009/04/17 | first author:Pedersen M
Late-night thoughts on the sequence annotation problem.,/pubmed/9521919,"Wheelan SJ, Boguski MS.",Genome Res. 1998 Mar;8(3):168-9. Review. No abstract available. ,Genome Res.  1998,PubMed,citation,PMID:9521919,pubmed,9521919,create date:1998/05/16 | first author:Wheelan SJ
Models and computational strategies linking physiological response to molecular networks from large-scale data.,/pubmed/18559319,"Ortega F, Sameith K, Turan N, Compton R, Trevino V, Vannucci M, Falciani F.",Philos Trans A Math Phys Eng Sci. 2008 Sep 13;366(1878):3067-89. doi: 10.1098/rsta.2008.0085.,Philos Trans A Math Phys Eng Sci.  2008,PubMed,citation,PMID:18559319,pubmed,18559319,create date:2008/06/19 | first author:Ortega F
A guide to UniProt for protein scientists.,/pubmed/21082425,"O'Donovan C, Apweiler R.",Methods Mol Biol. 2011;694:25-35. doi: 10.1007/978-1-60761-977-2_2.,Methods Mol Biol.  2011,PubMed,citation,PMID:21082425,pubmed,21082425,create date:2010/11/18 | first author:O'Donovan C
After the genome--where next?,/pubmed/11738702,"Burchmore R, Janssen CS, Turner CM.",Mol Biochem Parasitol. 2001 Dec;118(2):129-31. No abstract available. ,Mol Biochem Parasitol.  2001,PubMed,citation,PMID:11738702,pubmed,11738702,create date:2001/12/12 | first author:Burchmore R
"The future: biomarkers, biosensors, neuroinformatics, and e-neuropsychiatry.",/pubmed/22050860,Lowe CR.,Int Rev Neurobiol. 2011;101:375-400. doi: 10.1016/B978-0-12-387718-5.00015-8. Review.,Int Rev Neurobiol.  2011,PubMed,citation,PMID:22050860,pubmed,22050860,create date:2011/11/05 | first author:Lowe CR
The whole alignment and nothing but the alignment: the problem of spurious alignment flanks.,/pubmed/18796526,"Frith MC, Park Y, Sheetlin SL, Spouge JL.",Nucleic Acids Res. 2008 Oct;36(18):5863-71. doi: 10.1093/nar/gkn579. Epub 2008 Sep 16.,Nucleic Acids Res.  2008,PubMed,citation,PMID:18796526 | PMCID:PMC2566872,pubmed,18796526,create date:2008/09/18 | first author:Frith MC
Towards optimally multiplexed applications of universal arrays.,/pubmed/15285903,"Ben-Dor A, Hartman T, Karp RM, Schwikowski B, Sharan R, Yakhini Z.",J Comput Biol. 2004;11(2-3):476-92.,J Comput Biol.  2004,PubMed,citation,PMID:15285903,pubmed,15285903,create date:2004/08/03 | first author:Ben-Dor A
"The Center for Computational Biology: resources, achievements, and challenges.",/pubmed/22081221,"Toga AW, Dinov ID, Thompson PM, Woods RP, Van Horn JD, Shattuck DW, Parker DS.",J Am Med Inform Assoc. 2012 Mar-Apr;19(2):202-6. doi: 10.1136/amiajnl-2011-000525. Epub 2011 Nov 10.,J Am Med Inform Assoc.  2012,PubMed,citation,PMID:22081221 | PMCID:PMC3277626,pubmed,22081221,create date:2011/11/15 | first author:Toga AW
An overview of computational life science databases & exchange formats of relevance to chemical biology research.,/pubmed/22934944,"Smalter Hall A, Shan Y, Lushington G, Visvanathan M.",Comb Chem High Throughput Screen. 2013 Mar;16(3):189-98. Review.,Comb Chem High Throughput Screen.  2013,PubMed,citation,PMID:22934944 | PMCID:PMC4782780,pubmed,22934944,create date:2012/09/01 | first author:Smalter Hall A
BioServices: a common Python package to access biological Web Services programmatically.,/pubmed/24064416,"Cokelaer T, Pultz D, Harder LM, Serra-Musach J, Saez-Rodriguez J.",Bioinformatics. 2013 Dec 15;29(24):3241-2. doi: 10.1093/bioinformatics/btt547. Epub 2013 Sep 23.,Bioinformatics.  2013,PubMed,citation,PMID:24064416 | PMCID:PMC3842755,pubmed,24064416,create date:2013/09/26 | first author:Cokelaer T
A comparison of the Celera and Ensembl predicted gene sets reveals little overlap in novel genes.,/pubmed/11534548,"Hogenesch JB, Ching KA, Batalov S, Su AI, Walker JR, Zhou Y, Kay SA, Schultz PG, Cooke MP.",Cell. 2001 Aug 24;106(4):413-5. No abstract available. ,Cell.  2001,PubMed,citation,PMID:11534548,pubmed,11534548,create date:2001/09/06 | first author:Hogenesch JB
Using bioinformatics to predict the functional impact of SNVs.,/pubmed/21159622,"Cline MS, Karchin R.",Bioinformatics. 2011 Feb 15;27(4):441-8. doi: 10.1093/bioinformatics/btq695. Epub 2010 Dec 15. Review.,Bioinformatics.  2011,PubMed,citation,PMID:21159622 | PMCID:PMC3105482,pubmed,21159622,create date:2010/12/17 | first author:Cline MS
gff2ps: visualizing genomic annotations.,/pubmed/11099262,"Abril JF, Guigó R.",Bioinformatics. 2000 Aug;16(8):743-4.,Bioinformatics.  2000,PubMed,citation,PMID:11099262,pubmed,11099262,create date:2000/12/01 | first author:Abril JF
A computational screen for type I polyketide synthases in metagenomics shotgun data.,/pubmed/18953415,"Foerstner KU, Doerks T, Creevey CJ, Doerks A, Bork P.",PLoS One. 2008;3(10):e3515. doi: 10.1371/journal.pone.0003515. Epub 2008 Oct 27.,PLoS One.  2008,PubMed,citation,PMID:18953415 | PMCID:PMC2568958,pubmed,18953415,create date:2008/10/28 | first author:Foerstner KU
miRcode: a map of putative microRNA target sites in the long non-coding transcriptome.,/pubmed/22718787,"Jeggari A, Marks DS, Larsson E.",Bioinformatics. 2012 Aug 1;28(15):2062-3. doi: 10.1093/bioinformatics/bts344. Epub 2012 Jun 19.,Bioinformatics.  2012,PubMed,citation,PMID:22718787 | PMCID:PMC3400968,pubmed,22718787,create date:2012/06/22 | first author:Jeggari A
"Galaxy: a comprehensive approach for supporting accessible, reproducible, and transparent computational research in the life sciences.",/pubmed/20738864,"Goecks J, Nekrutenko A, Taylor J; Galaxy Team..",Genome Biol. 2010;11(8):R86. doi: 10.1186/gb-2010-11-8-r86. Epub 2010 Aug 25.,Genome Biol.  2010,PubMed,citation,PMID:20738864 | PMCID:PMC2945788,pubmed,20738864,create date:2010/08/27 | first author:Goecks J
Computational biology in Cuba: an opportunity to promote science in a developing country.,/pubmed/18052536,"Pons T, Montero LA, Febles JP.",PLoS Comput Biol. 2007 Nov;3(11):e227. Review. No abstract available. ,PLoS Comput Biol.  2007,PubMed,citation,PMID:18052536 | PMCID:PMC2098855,pubmed,18052536,create date:2007/12/07 | first author:Pons T
"Trends in computational biology: a summary based on a RECOMB plenary lecture, 1999.",/pubmed/10582579,Wooley JC.,J Comput Biol. 1999 Fall-Winter;6(3-4):459-74.,J Comput Biol.  1999,PubMed,citation,PMID:10582579,pubmed,10582579,create date:1999/12/03 | first author:Wooley JC
Machine learning in bioinformatics: a brief survey and recommendations for practitioners.,/pubmed/16226240,"Bhaskar H, Hoyle DC, Singh S.",Comput Biol Med. 2006 Oct;36(10):1104-25. Epub 2005 Oct 13. Review.,Comput Biol Med.  2006,PubMed,citation,PMID:16226240,pubmed,16226240,create date:2005/10/18 | first author:Bhaskar H
Structural bioinformatics and its impact to biomedical science.,/pubmed/15279552,Chou KC.,Curr Med Chem. 2004 Aug;11(16):2105-34. Review.,Curr Med Chem.  2004,PubMed,citation,PMID:15279552,pubmed,15279552,create date:2004/07/29 | first author:Chou KC
Prediction of catalytic residues using Support Vector Machine with selected protein sequence and structural properties.,/pubmed/16790052,"Petrova NV, Wu CH.",BMC Bioinformatics. 2006 Jun 21;7:312.,BMC Bioinformatics.  2006,PubMed,citation,PMID:16790052 | PMCID:PMC1534064,pubmed,16790052,create date:2006/06/23 | first author:Petrova NV
Automatic generation of predictive dynamic models reveals nuclear phosphorylation as the key Msn2 control mechanism.,/pubmed/23716718,"Sunnåker M, Zamora-Sillero E, Dechant R, Ludwig C, Busetto AG, Wagner A, Stelling J.",Sci Signal. 2013 May 28;6(277):ra41. doi: 10.1126/scisignal.2003621.,Sci Signal.  2013,PubMed,citation,PMID:23716718,pubmed,23716718,create date:2013/05/30 | first author:Sunnåker M
Towards a theoretical understanding of false positives in DNA motif finding.,/pubmed/22738169,"Zia A, Moses AM.",BMC Bioinformatics. 2012 Jun 27;13:151. doi: 10.1186/1471-2105-13-151.,BMC Bioinformatics.  2012,PubMed,citation,PMID:22738169 | PMCID:PMC3436861,pubmed,22738169,create date:2012/06/29 | first author:Zia A
mRMRe: an R package for parallelized mRMR ensemble feature selection.,/pubmed/23825369,"De Jay N, Papillon-Cavanagh S, Olsen C, El-Hachem N, Bontempi G, Haibe-Kains B.",Bioinformatics. 2013 Sep 15;29(18):2365-8. doi: 10.1093/bioinformatics/btt383. Epub 2013 Jul 3.,Bioinformatics.  2013,PubMed,citation,PMID:23825369,pubmed,23825369,create date:2013/07/05 | first author:De Jay N
TreeWiz: interactive exploration of huge trees.,/pubmed/11836218,"Rost U, Bornberg-Bauer E.",Bioinformatics. 2002 Jan;18(1):109-14.,Bioinformatics.  2002,PubMed,citation,PMID:11836218,pubmed,11836218,create date:2002/02/12 | first author:Rost U
How do shotgun proteomics algorithms identify proteins?,/pubmed/17621303,Marcotte EM.,Nat Biotechnol. 2007 Jul;25(7):755-7. No abstract available. ,Nat Biotechnol.  2007,PubMed,citation,PMID:17621303,pubmed,17621303,create date:2007/07/11 | first author:Marcotte EM
"Prediction of protein tertiary structure using PROFESY, a novel method based on fragment assembly and conformational space annealing.",/pubmed/15281124,"Lee J, Kim SY, Joo K, Kim I, Lee J.",Proteins. 2004 Sep 1;56(4):704-14.,Proteins.  2004,PubMed,citation,PMID:15281124,pubmed,15281124,create date:2004/07/29 | first author:Lee J
SimCT: a generic tool to visualize ontology-based relationships for biological objects.,/pubmed/19776214,"Herrmann C, Bérard S, Tichit L.",Bioinformatics. 2009 Dec 1;25(23):3197-8. doi: 10.1093/bioinformatics/btp553. Epub 2009 Sep 23.,Bioinformatics.  2009,PubMed,citation,PMID:19776214 | PMCID:PMC2778334,pubmed,19776214,create date:2009/09/25 | first author:Herrmann C
Phylogenetic code in the cloud - can it meet the expectations?,/pubmed/20543426,"Kraut A, Moretti S, Robinson-Rechavi M, Stockinger H, Flanders D.",Stud Health Technol Inform. 2010;159:55-63.,Stud Health Technol Inform.  2010,PubMed,citation,PMID:20543426,pubmed,20543426,create date:2010/06/15 | first author:Kraut A
PhyloDet: a scalable visualization tool for mapping multiple traits to large evolutionary trees.,/pubmed/19633096,"Lee B, Nachmanson L, Robertson G, Carlson JM, Heckerman D.",Bioinformatics. 2009 Oct 1;25(19):2611-2. doi: 10.1093/bioinformatics/btp454. Epub 2009 Jul 24.,Bioinformatics.  2009,PubMed,citation,PMID:19633096 | PMCID:PMC2752614,pubmed,19633096,create date:2009/07/28 | first author:Lee B
Translational genomics in medical genetics.,/pubmed/12509720,McCabe ER.,Genet Med. 2002 Nov-Dec;4(6):468-71. No abstract available. ,Genet Med.  2002,PubMed,citation,PMID:12509720,pubmed,12509720,create date:2003/01/02 | first author:McCabe ER
Sex genes for genomic analysis in human brain: internal controls for comparison of probe level data extraction.,/pubmed/12962547,"Galfalvy HC, Erraji-Benchekroun L, Smyrniotopoulos P, Pavlidis P, Ellis SP, Mann JJ, Sibille E, Arango V.",BMC Bioinformatics. 2003 Sep 8;4:37. Epub 2003 Sep 8.,BMC Bioinformatics.  2003,PubMed,citation,PMID:12962547 | PMCID:PMC212256,pubmed,12962547,create date:2003/09/10 | first author:Galfalvy HC
Introduction to proteomics.,/pubmed/19544014,Lottspeich F.,Methods Mol Biol. 2009;564:3-10. doi: 10.1007/978-1-60761-157-8_1. Review.,Methods Mol Biol.  2009,PubMed,citation,PMID:19544014,pubmed,19544014,create date:2009/06/23 | first author:Lottspeich F
Unraveling adaptation in eukaryotic pathways: lessons from protocells.,/pubmed/24204235,"De Palo G, Endres RG.",PLoS Comput Biol. 2013 Oct;9(10):e1003300. doi: 10.1371/journal.pcbi.1003300. Epub 2013 Oct 24.,PLoS Comput Biol.  2013,PubMed,citation,PMID:24204235 | PMCID:PMC3812047,pubmed,24204235,create date:2013/11/10 | first author:De Palo G
A quantization method based on threshold optimization for microarray short time series.,/pubmed/16351737,"Di Camillo B, Sanchez-Cabo F, Toffolo G, Nair SK, Trajanoski Z, Cobelli C.",BMC Bioinformatics. 2005 Dec 1;6 Suppl 4:S11.,BMC Bioinformatics.  2005,PubMed,citation,PMID:16351737 | PMCID:PMC1866397,pubmed,16351737,create date:2005/12/15 | first author:Di Camillo B
The New York Consortium on Membrane Protein Structure (NYCOMPS): a high-throughput platform for structural genomics of integral membrane proteins.,/pubmed/20690043,"Love J, Mancia F, Shapiro L, Punta M, Rost B, Girvin M, Wang DN, Zhou M, Hunt JF, Szyperski T, Gouaux E, MacKinnon R, McDermott A, Honig B, Inouye M, Montelione G, Hendrickson WA.",J Struct Funct Genomics. 2010 Sep;11(3):191-9. doi: 10.1007/s10969-010-9094-7. Epub 2010 Aug 6.,J Struct Funct Genomics.  2010,PubMed,citation,PMID:20690043 | PMCID:PMC3099345,pubmed,20690043,create date:2010/08/07 | first author:Love J
In silico models for B-cell epitope recognition and signaling.,/pubmed/23568468,"Ansari HR, Raghava GP.",Methods Mol Biol. 2013;993:129-38. doi: 10.1007/978-1-62703-342-8_9. Review.,Methods Mol Biol.  2013,PubMed,citation,PMID:23568468,pubmed,23568468,create date:2013/04/10 | first author:Ansari HR
Reconstruction of human protein interolog network using evolutionary conserved network.,/pubmed/17493278,"Huang TW, Lin CY, Kao CY.",BMC Bioinformatics. 2007 May 10;8:152.,BMC Bioinformatics.  2007,PubMed,citation,PMID:17493278 | PMCID:PMC1885812,pubmed,17493278,create date:2007/05/12 | first author:Huang TW
Tandem affinity purification and identification of the human TSC1 protein complex.,/pubmed/20383465,"Guo L, Ying W, Zhang J, Yuan Y, Qian X, Wang J, Yang X, He F.",Acta Biochim Biophys Sin (Shanghai). 2010 Apr;42(4):266-73.,Acta Biochim Biophys Sin (Shanghai).  2010,PubMed,citation,PMID:20383465,pubmed,20383465,create date:2010/04/13 | first author:Guo L
A computational approach for identifying pseudogenes in the ENCODE regions.,/pubmed/16925835,"Zheng D, Gerstein MB.",Genome Biol. 2006;7 Suppl 1:S13.1-10. Epub 2006 Aug 7.,Genome Biol.  2006,PubMed,citation,PMID:16925835 | PMCID:PMC1810550,pubmed,16925835,create date:2006/08/24 | first author:Zheng D
Bioinformatics strategies for the analysis of lipids.,/pubmed/19784609,"Wheelock CE, Goto S, Yetukuri L, D'Alexandri FL, Klukas C, Schreiber F, Oresic M.",Methods Mol Biol. 2009;580:339-68. doi: 10.1007/978-1-60761-325-1_19.,Methods Mol Biol.  2009,PubMed,citation,PMID:19784609,pubmed,19784609,create date:2009/09/29 | first author:Wheelock CE
Genomics and medicine. Dissecting human disease in the postgenomic era.,/pubmed/11233446,"Peltonen L, McKusick VA.",Science. 2001 Feb 16;291(5507):1224-9. No abstract available. ,Science.  2001,PubMed,citation,PMID:11233446,pubmed,11233446,create date:2001/03/10 | first author:Peltonen L
[Methodology in molecular nephrology].,/pubmed/16523852,"Yoh K, Koyama A.",Nihon Rinsho. 2006 Feb;64 Suppl 2:14-7. Review. Japanese.  No abstract available. ,Nihon Rinsho.  2006,PubMed,citation,PMID:16523852,pubmed,16523852,create date:2006/03/10 | first author:Yoh K
Finding evolutionarily conserved cis-regulatory modules with a universal set of motifs.,/pubmed/19284541,"Wilczynski B, Dojer N, Patelak M, Tiuryn J.",BMC Bioinformatics. 2009 Mar 10;10:82. doi: 10.1186/1471-2105-10-82.,BMC Bioinformatics.  2009,PubMed,citation,PMID:19284541 | PMCID:PMC2669485,pubmed,19284541,create date:2009/03/17 | first author:Wilczynski B
"[Pharmacogenetics II. Research molecular methods, bioinformatics and ethical concerns].",/pubmed/17374327,Daudén E.,Actas Dermosifiliogr. 2007 Jan-Feb;98(1):3-13. Review. Spanish. ,Actas Dermosifiliogr.  2007,PubMed,citation,PMID:17374327,pubmed,17374327,create date:2007/03/22 | first author:Daudén E
From metabolic reactions to networks and pathways.,/pubmed/22144150,Arita M.,Methods Mol Biol. 2012;804:93-106. doi: 10.1007/978-1-61779-361-5_6. Review.,Methods Mol Biol.  2012,PubMed,citation,PMID:22144150,pubmed,22144150,create date:2011/12/07 | first author:Arita M
Production and analytic bioinformatics for next-generation DNA sequencing.,/pubmed/24870128,Allcock RJ.,Methods Mol Biol. 2014;1168:17-29. doi: 10.1007/978-1-4939-0847-9_2.,Methods Mol Biol.  2014,PubMed,citation,PMID:24870128,pubmed,24870128,create date:2014/05/30 | first author:Allcock RJ
"Nucleosome formation potential of exons, introns, and Alu repeats.",/pubmed/11724736,"Levitsky VG, Podkolodnaya OA, Kolchanov NA, Podkolodny NL.",Bioinformatics. 2001 Nov;17(11):1062-4.,Bioinformatics.  2001,PubMed,citation,PMID:11724736,pubmed,11724736,create date:2001/11/29 | first author:Levitsky VG
Technique to study three-dimensional spatial arrangement of synaptic vesicles using data from single sections.,/pubmed/14506685,Nikonenko AG.,Microsc Res Tech. 2003 Oct 15;62(3):201-10.,Microsc Res Tech.  2003,PubMed,citation,PMID:14506685,pubmed,14506685,create date:2003/09/25 | first author:Nikonenko AG
Structure-revealing data fusion model with applications in metabolomics.,/pubmed/24111112,"Acar E, Lawaetz AJ, Rasmussen MA, Bro R.",Conf Proc IEEE Eng Med Biol Soc. 2013;2013:6023-6. doi: 10.1109/EMBC.2013.6610925.,Conf Proc IEEE Eng Med Biol Soc.  2013,PubMed,citation,PMID:24111112,pubmed,24111112,create date:2013/10/11 | first author:Acar E
Families of membranous proteins can be characterized by the amino acid composition of their transmembrane domains.,/pubmed/15961481,"Sadka T, Linial M.",Bioinformatics. 2005 Jun;21 Suppl 1:i378-86.,Bioinformatics.  2005,PubMed,citation,PMID:15961481,pubmed,15961481,create date:2005/06/18 | first author:Sadka T
High-recall protein entity recognition using a dictionary.,/pubmed/15961466,"Kou Z, Cohen WW, Murphy RF.",Bioinformatics. 2005 Jun;21 Suppl 1:i266-73.,Bioinformatics.  2005,PubMed,citation,PMID:15961466 | PMCID:PMC2857312,pubmed,15961466,create date:2005/06/18 | first author:Kou Z
Tag SNP selection in genotype data for maximizing SNP prediction accuracy.,/pubmed/15961458,"Halperin E, Kimmel G, Shamir R.",Bioinformatics. 2005 Jun;21 Suppl 1:i195-203.,Bioinformatics.  2005,PubMed,citation,PMID:15961458,pubmed,15961458,create date:2005/06/18 | first author:Halperin E
Computational methods for protein sequence comparison and search.,/pubmed/19365790,Xu D.,Curr Protoc Protein Sci. 2009 Apr;Chapter 2:Unit2.1. doi: 10.1002/0471140864.ps0201s56.,Curr Protoc Protein Sci.  2009,PubMed,citation,PMID:19365790,pubmed,19365790,create date:2009/04/15 | first author:Xu D
Added predictive value of high-throughput molecular data to clinical data and its validation.,/pubmed/21245078,"Boulesteix AL, Sauerbrei W.",Brief Bioinform. 2011 May;12(3):215-29. doi: 10.1093/bib/bbq085. Epub 2011 Jan 18.,Brief Bioinform.  2011,PubMed,citation,PMID:21245078,pubmed,21245078,create date:2011/01/20 | first author:Boulesteix AL
Towards the use of argumentation in bioinformatics: a gene expression case study.,/pubmed/18586728,"McLeod K, Burger A.",Bioinformatics. 2008 Jul 1;24(13):i304-12. doi: 10.1093/bioinformatics/btn157.,Bioinformatics.  2008,PubMed,citation,PMID:18586728 | PMCID:PMC2718635,pubmed,18586728,create date:2008/07/01 | first author:McLeod K
Permanent draft genomes of the two Rhodopirellula europaea strains 6C and SH398.,/pubmed/24286834,"Richter-Heitmann T, Richter M, Klindworth A, Wegner CE, Frank CS, Glöckner FO, Harder J.",Mar Genomics. 2014 Feb;13:15-6. doi: 10.1016/j.margen.2013.11.003. Epub 2013 Nov 25.,Mar Genomics.  2014,PubMed,citation,PMID:24286834,pubmed,24286834,create date:2013/11/30 | first author:Richter-Heitmann T
Automated protein subcellular localization based on local invariant features.,/pubmed/23512411,"Li C, Wang XH, Zheng L, Huang JF.",Protein J. 2013 Mar;32(3):230-7. doi: 10.1007/s10930-013-9478-1.,Protein J.  2013,PubMed,citation,PMID:23512411,pubmed,23512411,create date:2013/03/21 | first author:Li C
Current trends in microsatellite genotyping.,/pubmed/21565126,"Guichoux E, Lagache L, Wagner S, Chaumeil P, Léger P, Lepais O, Lepoittevin C, Malausa T, Revardel E, Salin F, Petit RJ.",Mol Ecol Resour. 2011 Jul;11(4):591-611. doi: 10.1111/j.1755-0998.2011.03014.x. Epub 2011 May 12. Review.,Mol Ecol Resour.  2011,PubMed,citation,PMID:21565126,pubmed,21565126,create date:2011/05/14 | first author:Guichoux E
A cluster-aware graphical user interface for a virtual ligand screening tool.,/pubmed/19163614,"Ramjan ZH, Raheja A, Floriano WB.",Conf Proc IEEE Eng Med Biol Soc. 2008;2008:4102-5. doi: 10.1109/IEMBS.2008.4650111.,Conf Proc IEEE Eng Med Biol Soc.  2008,PubMed,citation,PMID:19163614,pubmed,19163614,create date:2009/01/24 | first author:Ramjan ZH
